time,LSTM,CNN,GRU,bilstm,cnn-bilstm,cnn-gru,cnn-gru-attention,emd-cnn-gru-attention,eemd-cnn-gru-attention,iceemdan-cnn-gru-attention,vmd-cnn-gru-attention,iceemdan-cnn-gru-attention-arima,vmd-cnn-gru-attention-arima,vmd-cnn-gru-attention-vmd-arima,
2017/9/7 15:30,0.619119731,1.1679568,2.7870636,0.8039155,1.7331406,1.5035626,1.4377191,0.36419725,0.95990276,0.619119731,-0.449312207,-0.449312207,0.352269054,0.272980355,
2017/9/7 15:45,0.540741337,2.8221874,2.8862133,1.7215711,1.8487412,1.6860396,1.2072709,-0.11312008,2.1147656,0.540741337,0.544607046,0.544607046,-0.244698869,-0.193219439,
2017/9/7 16:00,0.441427709,1.5610052,2.2866211,1.2152985,1.382794,1.1457726,0.86641145,0.67554617,3.0213206,0.441427709,-0.077581737,-0.077581737,1.79158359,1.052466367,
2017/9/7 16:15,0.714369274,2.2237804,2.6674013,1.7040303,1.886603,1.6325203,1.4602634,2.3988137,4.3332558,0.714369274,1.513884719,1.513884719,2.100565399,0.993151382,
2017/9/7 16:30,1.744687649,2.8066676,2.4727049,2.0102799,1.8585526,1.5364834,1.372543,0.86763453,5.0739818,1.744687649,2.833973718,2.833973718,0.826369147,1.102187352,
2017/9/7 16:45,2.197307759,2.5644944,2.0537891,2.0132754,1.7987391,1.5120903,1.2547096,0.21551013,4.8787723,2.197307759,0.93300065,0.93300065,0.288100664,1.016341961,
2017/9/7 17:00,2.442559766,2.336478,1.9104815,1.7135344,1.7864681,1.4985052,1.1417724,0.90560675,4.4821138,2.442559766,2.165124184,2.165124184,0.019915251,0.094442977,
2017/9/7 17:15,3.618779483,1.385789,1.3733082,0.88819289,1.284043,0.99778515,0.39523572,2.2400253,5.4501476,3.618779483,2.091398734,2.091398734,0.450195459,0.72298807,
2017/9/7 17:30,5.496386266,1.9627537,1.8411322,1.3031408,1.7555176,1.4854628,0.99202126,4.4777727,7.0361481,5.496386266,3.333302289,3.333302289,3.768705847,3.620526778,
2017/9/7 17:45,4.838374731,4.4739966,3.8708568,3.5796261,3.9046397,3.5492835,3.6607425,4.7474518,6.7271566,4.838374731,4.617504441,4.617504441,2.199222216,1.506623277,
2017/9/7 18:00,4.879574463,2.8214009,2.6555986,2.3263214,2.2028823,1.8915335,1.8822696,2.7724323,6.5866833,4.879574463,3.076651205,3.076651205,3.452104623,3.496229214,
2017/9/7 18:15,3.816558584,4.1810484,3.6820292,3.3671203,3.2599463,3.0485644,3.3176491,3.844388,5.7049913,3.816558584,2.975218904,2.975218904,2.304699038,1.958439226,
2017/9/7 18:30,2.094456069,2.9595828,2.7525129,2.4407043,2.374927,2.0345988,1.9653966,0.78315544,3.8516994,2.094456069,2.252359742,2.252359742,1.46367469,1.119249175,
2017/9/7 18:45,0.375221261,2.3207324,2.1589165,1.7232302,1.7948309,1.5532709,1.1879027,-1.2971551,2.3328567,0.375221261,-0.832130106,-0.832130106,-0.494927385,-0.177567595,
2017/9/7 19:00,-0.071068546,1.1664889,1.2660675,0.63389087,1.1239125,0.90051419,0.27346048,0.24985504,1.9312258,-0.071068546,1.033835565,1.033835565,0.046068952,0.205435825,
2017/9/7 19:15,-0.757144171,1.3068795,1.6134253,0.72404605,1.4700066,1.1954762,0.75221938,-0.50627184,1.2138901,-0.757144171,-0.515863218,-0.515863218,-0.145108765,0.193670046,
2017/9/7 19:30,-1.771650536,1.4789582,1.7903776,0.91658956,1.5340754,1.2707812,0.6560145,0.81466985,-0.009920299,-1.771650536,-1.031354821,-1.031354821,0.230788494,0.018123133,
2017/9/7 19:45,-1.919907412,1.4369749,1.6192751,0.77098888,1.275766,1.0181166,0.54365039,0.19623852,-0.7525323,-1.919907412,0.374848945,0.374848945,0.942910355,0.898906523,
2017/9/7 20:00,-1.533363306,1.9610658,2.0077324,1.3939248,1.7502028,1.473827,1.1303059,-1.8862286,-0.4220567,-1.533363306,-0.315240921,-0.315240921,0.273670734,-0.083302892,
2017/9/7 20:15,1.528674751,1.2634608,1.3837481,0.70315695,1.1070639,0.80805928,0.36123314,1.9716554,2.1561871,1.528674751,3.394851151,3.394851151,5.277553539,5.042648719,
2017/9/7 20:30,0.663781529,5.6980414,4.6976304,4.6468925,4.9670858,4.6130786,4.8647165,5.284585,1.8981366,0.663781529,2.299006361,2.299006361,1.636771129,1.981193988,
2017/9/7 20:45,-0.083508516,3.1100202,2.6947651,2.660289,2.2895322,1.9134585,2.2271416,-1.9379516,0.34942168,-0.083508516,0.626402948,0.626402948,1.406868859,1.381850515,
2017/9/7 21:00,-0.259368329,2.3384984,2.1047754,1.7521183,1.6575066,1.4801413,1.3738515,-0.35573959,0.010634303,-0.259368329,0.555674897,0.555674897,0.313140855,0.340952026,
2017/9/7 21:15,1.209462467,1.2241699,1.3415041,0.74449164,1.2498327,0.96695095,0.2832644,0.63489962,0.62832928,1.209462467,1.384780828,1.384780828,1.920658663,1.2499823,
2017/9/7 21:30,1.190086729,2.4992566,2.3199425,1.7562457,2.2723765,1.9437052,1.625609,-3.1337149,0.26558259,1.190086729,0.361667943,0.361667943,0.71713886,0.363413485,
2017/9/7 21:45,2.052612541,1.7530854,1.7124929,1.19282,1.5599295,1.3253332,0.64310449,0.62056971,1.3902934,2.052612541,2.125950534,2.125950534,2.284297911,1.520584129,
2017/9/7 22:00,4.410147047,2.4989204,2.4380608,1.7577016,2.1680932,1.9187533,1.682834,1.7095129,3.2478495,4.410147047,3.16319586,3.16319586,3.84445205,3.839333328,
2017/9/7 22:15,5.574935407,4.2398815,4.0382652,3.577625,3.8183289,3.4740806,3.6857269,2.3841083,4.3415565,5.574935407,5.040487031,5.040487031,5.631720199,5.704743037,
2017/9/7 22:30,5.977136435,6.6425219,5.7961116,5.6062479,5.5416002,5.1290917,5.6743412,4.9339972,5.4730854,5.977136435,6.28207746,6.28207746,5.819022263,6.093871895,
2017/9/7 22:45,9.216460316,6.7559462,5.811964,6.0479221,5.4330082,5.1294465,5.8072553,7.6131964,9.6620283,9.216460316,8.730771685,8.730771685,6.505539579,6.553332787,
2017/9/7 23:00,18.10685344,7.0578156,6.3417244,6.2781043,5.8835502,5.593667,6.2543039,13.871877,17.794661,18.10685344,17.2122849,17.2122849,14.11334594,14.86635044,
2017/9/7 23:15,26.94125275,14.38157,14.077621,13.033818,15.34461,14.370123,14.144437,21.515074,25.561747,26.94125275,24.20680249,24.20680249,26.12588838,26.3630601,
2017/9/7 23:30,30.65676792,25.164335,25.209227,23.41507,26.646011,25.268339,25.442905,26.721247,28.183002,30.65676792,28.83153421,28.83153421,31.97347496,32.39093127,
2017/9/7 23:45,27.2740308,30.457623,30.544224,29.070641,32.24654,30.05999,31.30621,28.275753,25.975163,27.2740308,29.20641368,29.20641368,33.04987578,32.96213395,
2017/9/8 0:00,21.19992613,30.707195,31.538542,29.76959,32.141972,30.29063,31.775909,26.625494,20.978165,21.19992613,25.23130979,25.23130979,26.12341249,24.8959792,
2017/9/8 0:15,15.09283371,23.839172,25.237402,23.670414,23.541409,23.113623,23.805273,19.843809,15.198325,15.09283371,18.76667323,18.76667323,15.41519784,14.73205445,
2017/9/8 0:30,11.63589916,15.271462,14.978108,15.095469,14.098724,13.635475,13.516916,15.030059,12.896646,11.63589916,10.9058446,10.9058446,10.97405206,11.28873507,
2017/9/8 0:45,1.27E+01,12.252451,11.248647,11.603732,12.357128,11.51212,10.559489,11.441502,12.593738,1.27E+01,9.61623265,9.61623265,10.30161381,10.66339726,
2017/9/8 1:00,13.21779102,11.869009,11.585401,11.188555,12.9369,11.657015,11.62098,8.6559753,12.178142,13.21779102,10.91747929,10.91747929,10.80536404,10.75899224,
2017/9/8 1:15,11.54437496,11.9719,12.080586,11.267451,12.719174,11.471451,12.217574,7.4683633,10.773892,11.54437496,10.31320256,10.31320256,10.7110576,10.30519491,
2017/9/8 1:30,10.49733595,11.608972,11.750911,10.929537,11.246869,10.592048,11.44474,7.6105494,9.6157846,10.49733595,10.14451764,10.14451764,9.707277094,10.12790364,
2017/9/8 1:45,10.09302531,11.656427,11.429008,11.033892,10.406511,10.041819,10.976357,7.8756757,9.01402,10.09302531,9.332429843,9.332429843,9.596470625,9.920864079,
2017/9/8 2:00,9.535073313,12.221046,11.179853,11.440763,10.231344,9.8797293,10.767389,8.5329037,8.8451424,9.535073313,9.198867444,9.198867444,8.85616722,9.0111846,
2017/9/8 2:15,9.947696572,11.238735,9.8310823,10.571678,9.032095,8.9306679,9.5886984,7.8454199,9.1379814,9.947696572,9.459687449,9.459687449,9.890561998,9.331572317,
2017/9/8 2:30,10.19346365,10.762276,9.4967756,10.148602,9.5306616,9.3447866,9.6759892,6.6953068,9.2676697,10.19346365,9.331783035,9.331783035,9.808931463,9.23E+00,
2017/9/8 2:45,10.41591038,10.174203,9.3429222,9.5282583,9.2886009,9.0988941,9.4196596,8.2051468,9.2111645,10.41591038,9.911993121,9.911993121,9.629811693,9.636797949,
2017/9/8 3:00,10.46338147,10.541805,9.8234768,9.778388,9.8716488,9.5800095,9.8649454,8.5970449,9.2163334,10.46338147,9.234353353,9.234353353,9.336590243,9.713539439,
